cod;pais;cidade;veiculo;timestamp_resp;genero;renda_familiar;local_residencia;posse_bicicleta;posse_bicicleta_eletrica;posse_patinete_eletrica;posse_motocicleta;posse_automovel;posse_nenhum_desses;motivo;migracao_modal;m_caminhada;m_app_taxi;m_automovel;m_onibus_local;m_onibus_corredor;m_metro_trem;m_nao;integracao;i_metro;i_trem;i_onibus;i_fretado;i_automovel;i_app_taxi;i_nao;acidente;a_caminhada;a_bicicleta_propria;a_bicicleta_compartilhada;a_patinete_compartilhada;a_motocicleta;a_automovel;a_transporte_coletivo;a_nao;calcadas_largas_planas;ciclovias_ciclofaixas;traffic_calming;respeito_motoristas;capacete
Y0001;BR;SAO PAULO;BICICLETA;07/03/2019 14:12;MASCULINO;DE 05 A 10 SM;DENTRO;0;0;0;0;1;0;OUTROS;SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; SIM;0;0;0;0;0;1;0;0;3;1;4;2;5
Y0002;BR;SAO PAULO;BICICLETA;07/03/2019 14:14;MASCULINO;DE 10 A 20 SM;DENTRO;1;0;0;0;0;0;TRABALHO;SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;1;2;3
Y0003;BR;SAO PAULO;BICICLETA;07/03/2019 14:17;MASCULINO;DE 01 A 02 SM;FORA - ZONA NORTE;0;0;0;0;0;1;LAZER;SIM;1;0;0;1;0;1;0; SIM;0;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;4;1;5;3
Y0004;BR;SAO PAULO;BICICLETA;07/03/2019 14:18;MASCULINO;MAIS DE 20 SM;DENTRO;0;0;0;0;1;0;TRABALHO;SIM;0;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;2;3;5;4
Y0005;BR;SAO PAULO;BICICLETA;07/03/2019 14:18;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;1;0;0;0;0;0;TRABALHO;SIM;0;0;0;1;0;1;0; SIM;1;0;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;5;3;4
Y0006;BR;SAO PAULO;BICICLETA;07/03/2019 14:20;FEMININO;DE 03 A 05 SM;FORA - ZONA NORTE;0;0;0;0;0;1;TRABALHO;SIM;0;0;0;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;1;5;3;4;2
Y0007;BR;SAO PAULO;BICICLETA;07/03/2019 14:24;MASCULINO;DE 03 A 05 SM;FORA - ZONA LESTE;1;0;0;0;1;0;TRABALHO;SIM;0;1;1;1;0;0;0; SIM;1;1;1;0;0;0;0; NAO;0;0;0;0;0;0;0;1;4;2;5;1;3
Y0008;BR;SAO PAULO;BICICLETA;07/03/2019 14:25;MASCULINO;DE 02 A 03 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;1;0;0;0; SIM;1;0;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;2;1;4;3;5
Y0009;BR;SAO PAULO;BICICLETA;07/03/2019 14:26;FEMININO;DE 02 A 03 SM;FORA - ZONA OESTE;1;0;0;0;1;0;TRABALHO;SIM;1;0;0;1;0;0;0; SIM;0;0;0;0;0;1;0; NAO;0;0;0;0;0;0;0;1;5;3;1;2;4
Y0010;BR;SAO PAULO;BICICLETA;07/03/2019 14:26;MASCULINO;DE 05 A 10 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;1;1;1;1;1;0; NAO;0;0;0;0;0;0;1; SIM;0;0;1;0;0;1;1;0;2;5;1;4;3
Y0011;BR;SAO PAULO;BICICLETA;07/03/2019 14:33;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;1;0;0;0;0;0;EDUCACAO;SIM;1;0;0;0;0;0;0; SIM;1;1;0;0;0;0;0; SIM;1;0;0;0;0;0;0;0;5;4;3;2;1
Y0012;BR;SAO PAULO;BICICLETA;07/03/2019 14:33;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;1;1;0;0;1;1;0; NAO;0;0;0;0;0;0;0;1;3;4;5;2;1
Y0013;BR;SAO PAULO;BICICLETA;07/03/2019 14:34;MASCULINO;MAIS DE 20 SM;DENTRO;0;0;0;0;1;0;EDUCACAO;SIM;0;1;1;0;0;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;4;5;2;3;1
Y0014;BR;SAO PAULO;BICICLETA;07/03/2019 14:34;MASCULINO;DE 01 A 02 SM;FORA - ZONA SUL;0;0;0;0;0;1;TRABALHO;SIM;1;0;0;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;2;3;1
Y0015;BR;SAO PAULO;BICICLETA;07/03/2019 14:35;MASCULINO;DE 10 A 20 SM;FORA - ZONA NORTE;0;0;0;0;0;1;LAZER;SIM;1;0;0;0;1;0;0; NAO;0;0;0;0;0;0;1; NAO;0;0;0;0;0;0;0;1;5;4;3;2;1
Y0016;BR;SAO PAULO;BICICLETA;07/03/2019 14:36;MASCULINO;DE 03 A 05 SM;FORA - ZONA SUL;1;0;0;1;1;0;TRABALHO;SIM;1;0;0;0;0;0;0; SIM;0;1;0;0;0;0;0; NAO;0;0;0;0;0;0;0;1;1;2;4;5;3
Y0017;BR;SAO PAULO;BICICLETA;07/03/2019 14:38;MASCULINO;DE 03 A 05 SM;FORA - ZONA OESTE;0;0;0;0;0;1;TRABALHO;SIM;1;1;0;0;0;0;0; SIM;1;1;1;0;0;1;0; NAO;0;0;0;0;0;0;0;1;5;1;3;2;4
